"00006","SAL","27/08/2012","18:02","001"
"00007","SAL","27/08/2012","18:04","001"
"47273","SAL","27/08/2012","18:06","001"
"00011","SAL","27/08/2012","19:01","001"
"00007","ENT","28/08/2012","07:49","001"
"00011","ENT","28/08/2012","07:53","001"
"00006","ENT","28/08/2012","07:55","001"
"47273","ENT","28/08/2012","07:55","001"
"00012","ENT","28/08/2012","07:56","001"
"08329","ENT","28/08/2012","08:02","001"
"00012","SAL","28/08/2012","12:01","001"
"00006","SAL","28/08/2012","12:01","001"
"00006","ENT","28/08/2012","12:58","001"
"00012","ENT","28/08/2012","12:59","001"
"47273","ENT","28/08/2012","13:01","001"
"00011","ENT","28/08/2012","13:01","001"
"00011","SAL","28/08/2012","13:01","001"
"47273","SAL","28/08/2012","13:01","001"
"47273","ENT","28/08/2012","13:54","001"
"00011","ENT","28/08/2012","13:57","001"
"08329","SAL","28/08/2012","18:01","001"
"00012","SAL","28/08/2012","18:02","001"
"00006","SAL","28/08/2012","18:03","001"
"47273","SAL","28/08/2012","18:08","001"
"00011","SAL","28/08/2012","19:06","001"
"47273","ENT","29/08/2012","07:53","001"
"00007","ENT","29/08/2012","07:53","001"
"00012","ENT","29/08/2012","07:54","001"
"00006","ENT","29/08/2012","07:54","001"
"00011","ENT","29/08/2012","07:58","001"
"08329","ENT","29/08/2012","08:04","001"
"00011","SAL","29/08/2012","12:01","001"
"00006","SAL","29/08/2012","12:01","001"
"00012","SAL","29/08/2012","12:02","001"
"47273","SAL","29/08/2012","12:03","001"
"00006","ENT","29/08/2012","12:57","001"
"00011","ENT","29/08/2012","12:57","001"
"00012","ENT","29/08/2012","13:00","001"
"00007","SAL","29/08/2012","13:03","001"
"00007","ENT","29/08/2012","13:58","001"
"00012","SAL","29/08/2012","18:00","001"
"00007","SAL","29/08/2012","18:00","001"
"00006","SAL","29/08/2012","18:01","001"
"08329","SAL","29/08/2012","18:01","001"
"00011","SAL","29/08/2012","18:01","001"
"47273","ENT","30/08/2012","07:42","001"
"08329","ENT","30/08/2012","07:44","001"
"00007","ENT","30/08/2012","07:51","001"
"00011","ENT","30/08/2012","07:51","001"
"00012","ENT","30/08/2012","07:56","001"
"00006","ENT","30/08/2012","07:56","001"
"00011","SAL","30/08/2012","12:01","001"
"00006","SAL","30/08/2012","12:01","001"
"00012","SAL","30/08/2012","12:01","001"
"00011","ENT","30/08/2012","12:57","001"
"00006","ENT","30/08/2012","12:57","001"
"00012","ENT","30/08/2012","12:58","001"
"00007","SAL","30/08/2012","13:02","001"
"00007","ENT","30/08/2012","13:51","001"
"47273","ENT","30/08/2012","13:51","001"
"00007","SAL","30/08/2012","18:02","001"
"47273","SAL","30/08/2012","18:02","001"
"00012","SAL","30/08/2012","18:03","001"
"00011","SAL","30/08/2012","18:03","001"
"00006","SAL","30/08/2012","18:03","001"
"47273","ENT","31/08/2012","08:05","001"
"00012","ENT","31/08/2012","08:05","001"
"00006","ENT","31/08/2012","08:05","001"
"00011","ENT","31/08/2012","08:05","001"
"00011","SAL","31/08/2012","12:02","001"
"00012","SAL","31/08/2012","12:02","001"
"00012","ENT","31/08/2012","12:58","001"
